,title,review_name,review_date,review_score,review_text
0,What's UP India,C5415FRryano,yesterday,5,Het eten is subliem en de bediening uitstekend. Dinesh junior is too sweet. The suggestions were excellent. We have to have a lie down now.
1,What's UP India,askok,"January 4, 2020",5,"From arrival to departure, it was just a treat to be here. We had a reservation and there was a note on the table to welcome us. First time I ever had that happen. Spoke with the owner a while, he is a great host. The staff was also lovely. Checking if the food was good. And the food was so so good! Very tasteful, good flavors and spices. 

Can't wait to go again!"
2,What's UP India,rosalindl562,1 week ago,5,Great food and drinks. Excellent and very professional service. We will be back again very soon. Thank you.
3,What's UP India,LeonLewisL,1 week ago,3,"Nice atmosphere, good service, room was a bit tacky, europeanised indian food. Starter lam chops good, bit strange with bbq sauce, also a little expensive"
4,What's UP India,marciah935,3 weeks ago,5,This is a great restaurant. We ordered starters which were large portions - and both delicious and freshly cooked. The main dishes were nicely flavoured and appropriately spiced. Home away from home! Thanks - and we will be back.
5,What's UP India,joeyFO297,3 weeks ago,5,"My Indian girlfriend and I had been looking for an authentic Indian restaurant for the longest time here in Rotterdam, and this one definitely does not disappoint! We had ordered appetizers, main course and dessert, and it was exquisite. The service and overall experience were also top-notch!  Looking forward to my next visit here!"
6,What's UP India,rafaelavink,"September 12, 2021",5,"Lovely place, it is a very cute little restaurant with amazing food! Also the service was great, the people are really sweet! Thank you"
7,What's UP India,irisb2110,"September 12, 2021",1,"The food was very overpriced and contained some type of bacteria, because it left us with terrible stomach and bowel problems. Would definitely not recommend.More"
8,What's UP India,F2838GWjacobm,"September 11, 2021",5,"Really enjoyed my Rogan Josh and butter naan bread today in What’s Up India. Special atmosphere, lots of attention to detail and great service from all - highly recommended"
9,What's UP India,W1146BLstevens,"August 31, 2021",5,"We were overall very happy with the food, especially the chicken tandoori was very good! The service was very friendly and courteous."
10,What's UP India,4458sunilj,"August 30, 2021",5,"Dinesh and Jay, are wonderful people, they were very warm and welcoming. With a short notice, our table was reserved, with a personalized tab. (Highlight) Selection of food was great, perfect recommendation by Jay, which suits our vegetarian appetite. Not to mention the food was...More"
11,What's UP India,Rudraksh B,"August 26, 2021",5,Had amazing time with at whats up india woth Mr. Lalwani and family. Great food...i highly recommend this restaurant. Have been to multiple restaurants but never tasted such homely flavours. Finger licking good food!
12,What's UP India,Tourist01998112027,"August 8, 2021",5,"Wonderful staff, family run restaurant, outstanding food, best Indian restaurant we have come across in the Netherlands."
13,What's UP India,Cortessizzz,"July 31, 2021",5,Food was delicious and we especially enjoyed the vegetarian options. Service was super friendly and very attentive although we had lots of extra wishes and requests. Will definitely come again.
14,What's UP India,Z5605UKbobm,"July 31, 2021",5,Best indian ever! Great food! Great host! Try the broccoli! It's mindblowing. You will never look at broccoli as before.
15,What's UP India,moritzz335,"July 22, 2021",5,"I visited the restaurant with my girlfriend during our Rotterdam stopover. The service was extremely present and kind. It was not only the food that felt “Indian” but the atmosphere and the familiar treatment. The food was of good quality and taste! However, You may...More"
16,What's UP India,Ivan L,"July 19, 2021",5,The service in this restaurant is exceptional. Attention to every little detail. The food is authentic and tastes amazing. Prices are normal. Would recommend and will come back ! Best Indian restaurant in Rotterdam!
17,What's UP India,Filobelo,"July 17, 2021",5,Perfect and attentive welcome (change of table for ease of use). The dishes are delicious and the menu so rich that it is hard to choose. Excellent advice received for our choices. 1 Perfect and attentive welcome (change of table for ease of use). The...More
18,What's UP India,Doenda69,"July 17, 2021",4,Great ambiance and food. Great service and the staff and owners make time for a chat. Worth a visit.
19,What's UP India,kalliopia701,"July 10, 2021",5,Great and authentic Indian cuisine in the heart of Rotterdam. Very polite people. Totally recommended to taste Indian flavors.
20,What's UP India,timothyi365,"July 10, 2021",1,"Disgraceful treatment. Arrived with confirmed reservation only to be told that fully booked and couldn't be accommodated, this despite the fact that several tables weren't still occupied. No idea why our reservation was considered less worthy than those yet to arrived, but we were sacrificed...More"
21,What's UP India,Y6919TRkirstyw,"June 18, 2021",3,"Good meal, good time Went with boyfriend, we broke up at the resurant but the food was nice. Not a bad evening"
22,What's UP India,Joana K,"June 4, 2021",5,Delicious Food and super nice waiters. Would really recommend. Delicious vegetarian curry and amazing naan and roti. We’ll be back for sure
23,What's UP India,Rossmckenna1995,"May 20, 2021",5,"Well deserved 5 stars, the owner and son were very nice, friendly and accommodating. Must be tough trying to run a restaurant in these times but What’s up India does a great job."
24,What's UP India,182nadiaa,"May 20, 2021",5,"Visited yesterday for my partner’s birthday. I had the lamb madras and garlic naan, the food was really tasty and not too expensive. We had a lovely table on the grass by the river. The father and son that own the restaurant were friendly and...More"
25,What's UP India,siebe p,"May 3, 2021",5,We had a vegetarian take away meal. First time and what a surprise. Not so familiar with indian cuisine so it was a bit of a surprise. Everything was very tasteful and fresh. Look forward to eat in next timeMore
26,What's UP India,patrick3075,"January 31, 2021",5,"Saturday picked up my order at What`s Up India and the Lalwani family. I had ordered Garlic Naan, Prawns Jafarani, Chicken Sweet Garlic. and Chicken Vindaloo. And how wonderful it was again what the chefs had prepared. Compliments and see you next time. Hopefully in...More"
27,What's UP India,damsko,"October 15, 2020",3,"Went here after reading the good recommendations. The interior is bright and kitschy but in a tasty way. During the covid times they brought our food on a robot trolley, a fun gadget tho a bit noisy. Service provided by the staff was very friendly...More"
28,What's UP India,Quagnation420,"October 3, 2020",4,"We ordered 2 starters, 2 mains and had a few beers and glasses of wine. Very friendly service , was like being welcomed into their home. Big portion sizes and authentic tasting Indian Cuisine. Will definitely come again"
29,What's UP India,Dolphinskii,"September 29, 2020",5,"Wow, that chicken tikka starter was incredible. I've eaten a lot of Indian food, and that was fantastic. Service was excellent too, would definitely come back!"
30,What's UP India,Karin M,"September 26, 2020",1,Very unfortunate since it was one of my favorite restaurants. I booked through the Fork on Friday night and after receiving the confirmation just normally showed up at the restaurant only to be rudely told by the waiter that they are not in any way...More
31,What's UP India,Linuskugler,"September 26, 2020",5,"Very nice place with extensive menu, friendly staff and very very delicious indian food, from mild to spicy. Guestroom isn't that big (which I liked) but you should think about reservations. Coronavirus-measures were taken seriously, very responsible! ;)"
32,What's UP India,Ananascol,"September 10, 2020",5,"Delicious I will definitely come back more than once, I was very afraid that it would be very spicy food, but it was the opposite, but if you want it spicy you can also order it. The recommendations of the owner were very delicious and...More"
33,What's UP India,LiliFra,"September 4, 2020",5,"After reading all the good reviews I thought this would be the best place to introduce my parents to the wonderful cuisine that India has to offer. And I was absolutely right! The food is sooo good! We have shared our starters (lollipop chicken, specials...More"
34,What's UP India,handleee,"September 3, 2020",5,"Went there with my SO after a bike trip from Eindhoven to Rotterdam. Staff was friendly, food was delicious and potions were rather big, which we appreciated. I would not recommend to eat the indian mouthfreshener, which is handed to you when you pay (tastes...More"
